LP,POLSKI,ŁACINA,PODŁOGA
1,Jastrząb,Accipiter gentilis,Accipiter_gentilis
2,Trzciniak,Acrocephalus arundinaceus,Acrocephalus_arundinaceus
3,Wodniczka,Acrocephalus paludicola,Acrocephalus_paludicola
4,Łozówka,Acrocephalus palustris,Acrocephalus_palustris
5,Rokitniczka,Acrocephalus schoenobaenus,Acrocephalus_schoenobaenus
6,Trzcinniczek,Acrocephalus scirpaceus,Acrocephalus_scirpaceus
7,Włochatka,Aegolius funereus,Aegolius_funereus
8,Skowronek,Alauda arvensis,Alauda_arvensis
9,Zimorodek,Alcedo atthis,Alcedo_atthis
10,Krzyżówka,Anas platyrhynchos,Anas_platyrhynchos
11,Gęgawa,Anser anser,Anser_anser
12,Gęś zbożowa,Anser fabalis,Anser_fabalis
13,Świergotek Łąkowy,Anthus pratensis,Anthus_pratensis
14,Siwerniak,Anthus spinoletta,Anthus_spinoletta
15,Świergotek drzewny,Anthus trivialis,Anthus_trivialis
16,Jerzyk,Apus apus,Apus_apus
17,Czapla biała,Ardea alba,Ardea_alba
18,Czapla siwa,Ardea cinerea,Ardea_cinerea
19,Uszatka,Asio otus,Asio_otus
20,Pójdźka,Athene noctua,Athene_noctua
21,Głowienka,Aythya ferina,Aythya_ferina
22,Jemiołuszka,Bombycilla garrulus,Bombycilla_garrulus
23,Bąk,Botaurus stellaris,Botaurus_stellaris
24,Puchacz,Bubo bubo,Bubo_bubo
25,Gągoł,Bucephala clangula,Bucephala_clangula
26,Myszołów,Buteo buteo,Buteo_buteo
27,Lelek,Caprimulgus europaeus,Caprimulgus_europaeus
28,Szczygieł,Carduelis carduelis,Carduelis_carduelis
29,Dziwonia,Carpodacus erythrinus,Carpodacus_erythrinus
30,Pełzacz Leśny,Certhia familiaris,Certhia_familiaris
31,Siweczka rzeczna,Charadrius dubius,Charadrius_dubius
32,Rybitwy białowąsa,Chlidonias hybrida,Chlidonias_hybrida
33,Rybitwa białoskrzydła,Chlidonias leucopterus,Chlidonias_leucopterus
34,Rybitwa czarna,Chlidonias niger,Chlidonias_niger
35,Dzwoniec,Chloris chloris,Chloris_chloris
36,Mewa śmieszka,Chroicocephalus ridibundus,Chroicocephalus_ridibundus
37,Bocian Biały,Ciconia ciconia,Ciconia_ciconia
38,Błotnik Stawowy,Circus aeruginosus,Circus_aeruginosus
39,Grubodziób,Coccothraustes coccothraustes,Coccothraustes_coccothraustes
40,Kawka,Coloeus monedula,Coloeus_monedula
41,Siniak,Columba oenas,Columba_oenas
42,Grzywacz,Columba palumbus,Columba_palumbus
43,Kruk,Corvus corax,Corvus_corax
44,Wrona,Corvus cornix,Corvus_cornix
45,Gawron,Corvus frugilegus,Corvus_frugilegus
46,Przepiórka,Coturnix coturnix,Coturnix_coturnix
